sys.id	sys.version	key	en.title	fr.title	heroImage	en.aboutTitle	fr.aboutTitle	en.inTitle	fr.inTitle	en.nearTitle	fr.nearTitle	en.ofTitle	fr.ofTitle	latLong.lat	latLong.lon	order	icon	en.shortDescription	fr.shortDescription	en.longDescription	fr.longDescription	en.slug	fr.slug	dataGeoParent	hidePhoneNumber	anchorLinkToMap	includeMetaTagRobot	metaTagRobotContent	includeHrefLang	brand
73rWjTVUTvS5pgOfEsxnKS	49	2	Aalst	Alost	5V1ZvUpjYw3YfSoOU1qxun	about Aalst	about Aalst	in Aalst	à Alost	near Aalst	near Aalst	Aalst's	Aalst's	50.945359	4.074311	100		Establish your business in Aalst, between the historic cities of Brussels to the east and Ghent to the west. Choose our modern office space here and find room to flourish in this strategic location.	Implantez votre entreprise à Alost, entre les villes historiques de Bruxelles à l'est et de Gand à l'ouest. Choisissez l'un de nos bureaux modernes pour développer votre entreprise dans cette région stratégique.	"Pursue your business goals in the city of Aalst. Choose modern office space here and take advantage of our flexible terms: as much or as little space as you need, for as long as you need it. Customise any of our spaces to suit your business, and get started straight away, with high-speed WiFi and ergonomic furniture all ready to use when you arrive. "	Atteignez vos objectifs professionnels dans la ville d'Alost. Choisissez un bureau moderne et profitez de nos conditions flexibles : tout l'espace dont vous avez besoin, aussi longtemps que vous en avez besoin. Personnalisez l'un de nos bureaux en fonction des besoins de votre entreprise, et lancez-vous immédiatement grâce au Wi-Fi haut débit et à un mobilier ergonomique, le tout prêt à l'emploi dès votre arrivée.	aalst	alost	6i2gQGYVFq6pAejUzMfkSv	False	#273fe61d-e3fa-4d45-b2ed-7e8a367e94c1	False	noindex, nofollow	False	3i5v8BOH5jiG5f2aNKdEEV|exP8sIRYdwu7AhTSxyMog
6Wc6rKFBypKc22TbzYj22F	36	3	Aberdeen	Aberdeen		about Aberdeen	about Aberdeen	in Aberdeen	à Aberdeen	near Aberdeen	near Aberdeen	Aberdeen's	Aberdeen's	57.149922	-2.093836	100		Voted the best UK city to start a business in, Aberdeen is positioned at the forefront of the UK economy. Our modern Office Space place you in this dynamic environment and allow you realise your business potential.	Voted the best UK city to start a business in, Aberdeen is positioned at the forefront of the UK economy. Our modern Office Space place you in this dynamic environment and allow you realise your business potential.	Our fully serviced Office Space in Aberdeen provide comfort, convenience and flexibility in this global energy hub. You can focus on your business while we take care of everything else. Decide whether you need the space for a day, a week or long-term. Our workspaces are fully customisable for long-term residents.	Nos bureaux privatifs à {GeoSolutionName} permettent aux équipes de toutes tailles de collaborer, innover et se développer. Choisissez un lieu qui convient à votre équipe et personnalisez votre espace selon vos besoins	aberdeen	aberdeen	3T1gCQhOPE1BjckFfsDnjk	False	#273fe61d-e3fa-4d45-b2ed-7e8a367e94c1	False	noindex, nofollow	False	
6CCVXlhUk3hMJpWocJ0qTZ	32	4	Abidjan	Abidjan		about Abidjan	about Abidjan	in Abidjan	à Abidjan	near Abidjan	near Abidjan	Abidjan's	Abidjan's	5.35969	-4.008349	100		Put down roots for your business in Abidjan, the Ivory Coast’s main urban centre known as the ‘Manhattan of the tropics’. Use our fully-serviced office spaces to develop your influence in the city’s flourishing banking and tourism sectors.	Posez les bases de votre activité à Abidjan, le principal pôle urbain de la Côte d'Ivoire, surnommé le « Manhattan des tropiques ». Développez votre influence au sein des secteurs bancaires et touristiques florissant de la ville depuis nos bureaux entièrement équipés.	Make a home for your business in our ready-to-use office space in the 'Manhattan of the tropics’. Work efficiently and let our experienced on-site support team take care of all the details including a professional receptionist to greet guests. Embrace the flexibility of personalised layouts, adaptable to suit your business needs. All spaces come complete with ergonomic furniture and business-grade IT infrastructure.	Installez votre entreprise dans nos bureaux prêts à l'emploi au sein du « Manhattan des tropiques ». Travaillez efficacement et laissez à notre équipe d'assistance sur site expérimentée le soin de gérer tous les détails, y compris l'accueil des invités par des réceptionnistes professionnels. Optez pour la flexibilité d'un agencement personnalisé et adaptable aux besoins de votre entreprise. Tous les espaces proposent un mobilier ergonomique et une infrastructure informatique professionnelle.	abidjan	abidjan	48vSeiMZMu7CmwBgIPtdu6	False	#273fe61d-e3fa-4d45-b2ed-7e8a367e94c1	False	noindex, nofollow	False	
TtTsJwp8vICCTIbLt5Y0C	15	1925	Abilene	Abilene		about Abilene	about Abilene	in Abilene	in Abilene	near Abilene	near Abilene	Abilene's	Abilene's	32.4487	-99.7331	100		Make your next business move with flexible office space in Abilene, the principal city of the Abilene metropolitan statistical area. Benefit from incentives available in the city to bring new businesses to the area.	Make your next business move with flexible office space in Abilene, the principal city of the Abilene metropolitan statistical area. Benefit from incentives available in the city to bring new businesses to the area.	Work from the minute you arrive in our ready-to-use, inspiring office space in the historic city of Abilene. Focus on building your business in open plan, buzzing environments that can be personalised to fit your business needs. Rely on our experienced on-site support teams to take care of the security, cleaning and utilities while you work smart with business-grade WiFi.	Work from the minute you arrive in our ready-to-use, inspiring office space in the historic city of Abilene. Focus on building your business in open plan, buzzing environments that can be personalised to fit your business needs. Rely on our experienced on-site support teams to take care of the security, cleaning and utilities while you work smart with business-grade WiFi.	abilene	abilene	42ukeYoLUXxDIlFLm3RTDP	False	#273fe61d-e3fa-4d45-b2ed-7e8a367e94c1	False	noindex, nofollow	False	
5AWfpWTZnNGdTIV4HsgPqO	30	5	Abu Dhabi	Abou Dabi		about Abu Dhabi	about Abu Dhabi	in Abu Dhabi	à Abou Dabi	near Abu Dhabi	near Abu Dhabi	Abu Dhabi's	Abu Dhabi's	24.454067	54.377177	100		Give your business premium surroundings in cosmopolitan Abu Dhabi. Discover new opportunities in this  world-class commercial hub from our fully-serviced office spaces.	Give your business premium surroundings in cosmopolitan Abu Dhabi. Discover new opportunities in this  world-class commercial hub from our fully-serviced office spaces.	Give your business an impressive home in Abu Dhabi with our fully-furnished, contemporary office spaces. Get straight to work with high-quality furniture, fast WiFi, printer and scanner access all ready to go. Customise the layout to reflect your brand, and upscale or downscale easily as your business changes. And enjoy access to fully stocked kitchens and lounge areas.	Nos bureaux privatifs à {GeoSolutionName} permettent aux équipes de toutes tailles de collaborer, innover et se développer. Choisissez un lieu qui convient à votre équipe et personnalisez votre espace selon vos besoins	abu-dhabi	abou-dabi	12oF0sUz90m9jj1vmBOuzY	False	#273fe61d-e3fa-4d45-b2ed-7e8a367e94c1	False	noindex, nofollow	False	
7jKcQ5SA13imlolDISMcC7	30	6	Abuja	Abuja		about Abuja	about Abuja	in Abuja	à Abuja	near Abuja	near Abuja	Abuja's	Abuja's	9.076112	7.398117	100		A purpose-built city in the centre of the country, Abuja was designed to be the economic and industrial focus of Nigeria. Establish your business amongst the city’s multinationals and blue-chip companies with our fully-serviced office space here.	A purpose-built city in the centre of the country, Abuja was designed to be the economic and industrial focus of Nigeria. Establish your business amongst the city’s multinationals and blue-chip companies with our fully-serviced office space here.	Available for as little as a day and scalable from a private office to an entire building, minimise risk with our flexible, stylish office space in Abuja. Move in and get to work in our fully-serviced space, complete with ergonomic, high quality furniture from trusted brands and extensive IT infrastructure, including business-grade WiFi and telephony. Services and utilities are included.	Available for as little as a day and scalable from a private office to an entire building, minimise risk with our flexible, stylish office space in Abuja. Move in and get to work in our fully-serviced space, complete with ergonomic, high quality furniture from trusted brands and extensive IT infrastructure, including business-grade WiFi and telephony. Services and utilities are included.	abuja	abuja	6uUOx9N3vSDDLq98G0nds	False	#273fe61d-e3fa-4d45-b2ed-7e8a367e94c1	False	noindex, nofollow	False	
4CyauvQle3TCzjVlDdVyCa	30	7	Abuja Central Business District	Abuja Central Business District		about Abuja Central Business District	about Abuja Central Business District	in Abuja Central Business District	à Abuja Central Business District	near Abuja Central Business District	near Abuja Central Business District	Abuja Central Business District's	Abuja Central Business District's	9.044423	7.478812	100		With restaurants serving international cuisine and Central Park drawing visitors year-round, Abuja Central Business District is buzzing with activity and enterprise. Make your business a part of this thriving commercial centre from our modern, fully-serviced office space.	With restaurants serving international cuisine and Central Park drawing visitors year-round, Abuja Central Business District is buzzing with activity and enterprise. Make your business a part of this thriving commercial centre from our modern, fully-serviced office space.	Make an immediate start in Abuja from our bright, inspiring office spaces in Abuja Central Business District. Personalise your layout to reflect your business culture and add and remove space easily to match your changing business demands. Our onsite support team will welcome you and assist with day-to-day queries. Always connect to the business world with high-speed WiFi throughout.	Nos bureaux privatifs à {GeoSolutionName} permettent aux équipes de toutes tailles de collaborer, innover et se développer. Choisissez un lieu qui convient à votre équipe et personnalisez votre espace selon vos besoins	abuja-central-business-district	abuja-central-business-district	7jKcQ5SA13imlolDISMcC7	False	#273fe61d-e3fa-4d45-b2ed-7e8a367e94c1	False	noindex, nofollow	False	
DVfwgdrir1rNnuiJDz8uT	30	8	Accra	Accra		about Accra	about Accra	in Accra	à Accra	near Accra	near Accra	Accra's	Accra's	5.603563	-0.187063	100		"Accra is served by Kotoka International Airport and the Port of Accra, and boasts fast road links to the heart of the capital. Lay down roots with our fully-equipped office space and broaden your business horizons. "	"Accra is served by Kotoka International Airport and the Port of Accra, and boasts fast road links to the heart of the capital. Lay down roots with our fully-equipped office space and broaden your business horizons. "	Build your business footprint with our flexible office space in Accra, the most populous city in Ghana. Move into an inspiring, ready-to-use workspace and customise your layout with the help of our friendly advisers. Scale up or down quickly and easily, and manage your account via our online app. All your cleaning, security, utilities and IT will be taken care of.	Nos bureaux privatifs à {GeoSolutionName} permettent aux équipes de toutes tailles de collaborer, innover et se développer. Choisissez un lieu qui convient à votre équipe et personnalisez votre espace selon vos besoins	accra	accra	5EpwOxJ3gaDyPSkVA0GPob	False	#273fe61d-e3fa-4d45-b2ed-7e8a367e94c1	False	noindex, nofollow	False	
71tnXj2n4SAN0X4oTyRrfg	30	9	ACT	ACT		about Act	about Act	in Act	dans l'ACT	near Act	near Act	Act's	Act's	-35.473456	149.012293	100		Witness some of the best Australia has to offer with an office space in the Australian Capital Territory. Home to the prosperous city of Canberra, the ACT mixes scenic surroundings with thriving culture and business in flexible office space here.	Witness some of the best Australia has to offer with an office space in the Australian Capital Territory. Home to the prosperous city of Canberra, the ACT mixes scenic surroundings with thriving culture and business in flexible office space here.	"Join an emerging innovation hub and place your business at the forefront of Australian entrepreneurship with a fully-serviced office space in the Australian Capital Territory. We’ll provide everything you need for productive work including a light-filled environment, spacious desks, comfortable seating, fast WiFi and stationery. Book by the day or stay for years and customise your space to reflect your business. "	"Join an emerging innovation hub and place your business at the forefront of Australian entrepreneurship with a fully-serviced office space in the Australian Capital Territory. We’ll provide everything you need for productive work including a light-filled environment, spacious desks, comfortable seating, fast WiFi and stationery. Book by the day or stay for years and customise your space to reflect your business. "	act	act	2sL58wOl5slzs2F72wy9vx	False	#273fe61d-e3fa-4d45-b2ed-7e8a367e94c1	False	noindex, nofollow	False	
4yGJGFCmdCCker8rZ1USq0	30	10	Adana	Adana		about Adana	about Adana	in Adana	à Adana	near Adana	near Adana	Adana's	Adana's	36.991316	35.330997	100		Follow in the footsteps of the Romans by choosing strategic Adana as a business base. A major route between Europe and the Middle East, this distinctly Mediterranean city has impeccable transport links and a high quality of life.	Follow in the footsteps of the Romans by choosing strategic Adana as a business base. A major route between Europe and the Middle East, this distinctly Mediterranean city has impeccable transport links and a high quality of life.	Adana has been a trade and industry friendly location for thousands of years. Hit the ground running with fully-equipped office space, or customise your space to your unique requirements. Fresh and contemporary, all our offices come with ergonomic furniture, high-speed WiFi and business-grade telecoms to boost productivity. Take time out in our fully-stocked kitchens and lounge areas.	Nos bureaux privatifs à {GeoSolutionName} permettent aux équipes de toutes tailles de collaborer, innover et se développer. Choisissez un lieu qui convient à votre équipe et personnalisez votre espace selon vos besoins	adana	adana	3vepTuOWnvK4yDzjHWwdQU	False	#273fe61d-e3fa-4d45-b2ed-7e8a367e94c1	False	noindex, nofollow	False	
